Accession,Protein,Organism_Name,Species,Genotype,Isolate,GenBank_Title,Length,Geo_Location,Country,Host,Tissue_Specimen_Source,Submitters,Collection_Date,Release_Date,Molecule_type
WEY06136,nucleoprotein,Sudan ebolavirus,Orthoebolavirus sudanense,,Ebolavirus/H.sapiens-wt/Uganda/2022/2022002242_C008,nucleoprotein [Sudan ebolavirus],738,Uganda,Uganda,Homo sapiens,,"Balinandi,S., Whitmer,S., Mulei,S., Nassuna,C., Pimundu,G., Muyigi,T., Kainulainen,M., Shedroff,E., Krapiunaya,I., Scholte,F., Nyakarahuka,L., Tumusiime,A., Kyondo,J., Baluku,J., Kiconco,J., Harris,J.R., Ario,A.R., Kagirita,A., Bosa,H.K., Ssewanyana,I., Nabadda,S., Mwebesa,H.G., Aceng,J.R., Atwine,D., Lutwama,J.J., Shoemaker,T.R., Montgomery,J.M., Kaleebu,P., Klena,J.D., Montgomery,J., Klena,J.",2022-09-17,2023-08-08,ssRNA(-)
WEY06137,polymerase complex protein,Sudan ebolavirus,Orthoebolavirus sudanense,,Ebolavirus/H.sapiens-wt/Uganda/2022/2022002242_C008,polymerase complex protein [Sudan ebolavirus],329,Uganda,Uganda,Homo sapiens,,"Balinandi,S., Whitmer,S., Mulei,S., Nassuna,C., Pimundu,G., Muyigi,T., Kainulainen,M., Shedroff,E., Krapiunaya,I., Scholte,F., Nyakarahuka,L., Tumusiime,A., Kyondo,J., Baluku,J., Kiconco,J., Harris,J.R., Ario,A.R., Kagirita,A., Bosa,H.K., Ssewanyana,I., Nabadda,S., Mwebesa,H.G., Aceng,J.R., Atwine,D., Lutwama,J.J., Shoemaker,T.R., Montgomery,J.M., Kaleebu,P., Klena,J.D., Montgomery,J., Klena,J.",2022-09-17,2023-08-08,ssRNA(-)
WEY06138,matrix protein,Sudan ebolavirus,Orthoebolavirus sudanense,,Ebolavirus/H.sapiens-wt/Uganda/2022/2022002242_C008,matrix protein [Sudan ebolavirus],326,Uganda,Uganda,Homo sapiens,,"Balinandi,S., Whitmer,S., Mulei,S., Nassuna,C., Pimundu,G., Muyigi,T., Kainulainen,M., Shedroff,E., Krapiunaya,I., Scholte,F., Nyakarahuka,L., Tumusiime,A., Kyondo,J., Baluku,J., Kiconco,J., Harris,J.R., Ario,A.R., Kagirita,A., Bosa,H.K., Ssewanyana,I., Nabadda,S., Mwebesa,H.G., Aceng,J.R., Atwine,D., Lutwama,J.J., Shoemaker,T.R., Montgomery,J.M., Kaleebu,P., Klena,J.D., Montgomery,J., Klena,J.",2022-09-17,2023-08-08,ssRNA(-)
WEY06139,sGP,Sudan ebolavirus,Orthoebolavirus sudanense,,Ebolavirus/H.sapiens-wt/Uganda/2022/2022002242_C008,sGP [Sudan ebolavirus],372,Uganda,Uganda,Homo sapiens,,"Balinandi,S., Whitmer,S., Mulei,S., Nassuna,C., Pimundu,G., Muyigi,T., Kainulainen,M., Shedroff,E., Krapiunaya,I., Scholte,F., Nyakarahuka,L., Tumusiime,A., Kyondo,J., Baluku,J., Kiconco,J., Harris,J.R., Ario,A.R., Kagirita,A., Bosa,H.K., Ssewanyana,I., Nabadda,S., Mwebesa,H.G., Aceng,J.R., Atwine,D., Lutwama,J.J., Shoemaker,T.R., Montgomery,J.M., Kaleebu,P., Klena,J.D., Montgomery,J., Klena,J.",2022-09-17,2023-08-08,ssRNA(-)
WEY06140,spike glycoprotein,Sudan ebolavirus,Orthoebolavirus sudanense,,Ebolavirus/H.sapiens-wt/Uganda/2022/2022002242_C008,spike glycoprotein [Sudan ebolavirus],676,Uganda,Uganda,Homo sapiens,,"Balinandi,S., Whitmer,S., Mulei,S., Nassuna,C., Pimundu,G., Muyigi,T., Kainulainen,M., Shedroff,E., Krapiunaya,I., Scholte,F., Nyakarahuka,L., Tumusiime,A., Kyondo,J., Baluku,J., Kiconco,J., Harris,J.R., Ario,A.R., Kagirita,A., Bosa,H.K., Ssewanyana,I., Nabadda,S., Mwebesa,H.G., Aceng,J.R., Atwine,D., Lutwama,J.J., Shoemaker,T.R., Montgomery,J.M., Kaleebu,P., Klena,J.D., Montgomery,J., Klena,J.",2022-09-17,2023-08-08,ssRNA(-)
WEY06141,secreted glycoprotein,Sudan ebolavirus,Orthoebolavirus sudanense,,Ebolavirus/H.sapiens-wt/Uganda/2022/2022002242_C008,secreted glycoprotein [Sudan ebolavirus],318,Uganda,Uganda,Homo sapiens,,"Balinandi,S., Whitmer,S., Mulei,S., Nassuna,C., Pimundu,G., Muyigi,T., Kainulainen,M., Shedroff,E., Krapiunaya,I., Scholte,F., Nyakarahuka,L., Tumusiime,A., Kyondo,J., Baluku,J., Kiconco,J., Harris,J.R., Ario,A.R., Kagirita,A., Bosa,H.K., Ssewanyana,I., Nabadda,S., Mwebesa,H.G., Aceng,J.R., Atwine,D., Lutwama,J.J., Shoemaker,T.R., Montgomery,J.M., Kaleebu,P., Klena,J.D., Montgomery,J., Klena,J.",2022-09-17,2023-08-08,ssRNA(-)
WEY06142,minor nucleoprotein,Sudan ebolavirus,Orthoebolavirus sudanense,,Ebolavirus/H.sapiens-wt/Uganda/2022/2022002242_C008,minor nucleoprotein [Sudan ebolavirus],288,Uganda,Uganda,Homo sapiens,,"Balinandi,S., Whitmer,S., Mulei,S., Nassuna,C., Pimundu,G., Muyigi,T., Kainulainen,M., Shedroff,E., Krapiunaya,I., Scholte,F., Nyakarahuka,L., Tumusiime,A., Kyondo,J., Baluku,J., Kiconco,J., Harris,J.R., Ario,A.R., Kagirita,A., Bosa,H.K., Ssewanyana,I., Nabadda,S., Mwebesa,H.G., Aceng,J.R., Atwine,D., Lutwama,J.J., Shoemaker,T.R., Montgomery,J.M., Kaleebu,P., Klena,J.D., Montgomery,J., Klena,J.",2022-09-17,2023-08-08,ssRNA(-)
WEY06143,membrane-associated protein,Sudan ebolavirus,Orthoebolavirus sudanense,,Ebolavirus/H.sapiens-wt/Uganda/2022/2022002242_C008,membrane-associated protein [Sudan ebolavirus],251,Uganda,Uganda,Homo sapiens,,"Balinandi,S., Whitmer,S., Mulei,S., Nassuna,C., Pimundu,G., Muyigi,T., Kainulainen,M., Shedroff,E., Krapiunaya,I., Scholte,F., Nyakarahuka,L., Tumusiime,A., Kyondo,J., Baluku,J., Kiconco,J., Harris,J.R., Ario,A.R., Kagirita,A., Bosa,H.K., Ssewanyana,I., Nabadda,S., Mwebesa,H.G., Aceng,J.R., Atwine,D., Lutwama,J.J., Shoemaker,T.R., Montgomery,J.M., Kaleebu,P., Klena,J.D., Montgomery,J., Klena,J.",2022-09-17,2023-08-08,ssRNA(-)
WEY06144,RNA-dependent RNA polymerase,Sudan ebolavirus,Orthoebolavirus sudanense,,Ebolavirus/H.sapiens-wt/Uganda/2022/2022002242_C008,RNA-dependent RNA polymerase [Sudan ebolavirus],2210,Uganda,Uganda,Homo sapiens,,"Balinandi,S., Whitmer,S., Mulei,S., Nassuna,C., Pimundu,G., Muyigi,T., Kainulainen,M., Shedroff,E., Krapiunaya,I., Scholte,F., Nyakarahuka,L., Tumusiime,A., Kyondo,J., Baluku,J., Kiconco,J., Harris,J.R., Ario,A.R., Kagirita,A., Bosa,H.K., Ssewanyana,I., Nabadda,S., Mwebesa,H.G., Aceng,J.R., Atwine,D., Lutwama,J.J., Shoemaker,T.R., Montgomery,J.M., Kaleebu,P., Klena,J.D., Montgomery,J., Klena,J.",2022-09-17,2023-08-08,ssRNA(-)
WEY06145,nucleoprotein,Sudan ebolavirus,Orthoebolavirus sudanense,,Ebolavirus/H.sapiens-wt/Uganda/2022/2022002539_C064,nucleoprotein [Sudan ebolavirus],738,Uganda,Uganda,Homo sapiens,,"Balinandi,S., Whitmer,S., Mulei,S., Nassuna,C., Pimundu,G., Muyigi,T., Kainulainen,M., Shedroff,E., Krapiunaya,I., Scholte,F., Nyakarahuka,L., Tumusiime,A., Kyondo,J., Baluku,J., Kiconco,J., Harris,J.R., Ario,A.R., Kagirita,A., Bosa,H.K., Ssewanyana,I., Nabadda,S., Mwebesa,H.G., Aceng,J.R., Atwine,D., Lutwama,J.J., Shoemaker,T.R., Montgomery,J.M., Kaleebu,P., Klena,J.D., Montgomery,J., Klena,J.",2022-10-01,2023-08-08,ssRNA(-)
WEY06146,polymerase complex protein,Sudan ebolavirus,Orthoebolavirus sudanense,,Ebolavirus/H.sapiens-wt/Uganda/2022/2022002539_C064,polymerase complex protein [Sudan ebolavirus],329,Uganda,Uganda,Homo sapiens,,"Balinandi,S., Whitmer,S., Mulei,S., Nassuna,C., Pimundu,G., Muyigi,T., Kainulainen,M., Shedroff,E., Krapiunaya,I., Scholte,F., Nyakarahuka,L., Tumusiime,A., Kyondo,J., Baluku,J., Kiconco,J., Harris,J.R., Ario,A.R., Kagirita,A., Bosa,H.K., Ssewanyana,I., Nabadda,S., Mwebesa,H.G., Aceng,J.R., Atwine,D., Lutwama,J.J., Shoemaker,T.R., Montgomery,J.M., Kaleebu,P., Klena,J.D., Montgomery,J., Klena,J.",2022-10-01,2023-08-08,ssRNA(-)
WEY06147,matrix protein,Sudan ebolavirus,Orthoebolavirus sudanense,,Ebolavirus/H.sapiens-wt/Uganda/2022/2022002539_C064,matrix protein [Sudan ebolavirus],326,Uganda,Uganda,Homo sapiens,,"Balinandi,S., Whitmer,S., Mulei,S., Nassuna,C., Pimundu,G., Muyigi,T., Kainulainen,M., Shedroff,E., Krapiunaya,I., Scholte,F., Nyakarahuka,L., Tumusiime,A., Kyondo,J., Baluku,J., Kiconco,J., Harris,J.R., Ario,A.R., Kagirita,A., Bosa,H.K., Ssewanyana,I., Nabadda,S., Mwebesa,H.G., Aceng,J.R., Atwine,D., Lutwama,J.J., Shoemaker,T.R., Montgomery,J.M., Kaleebu,P., Klena,J.D., Montgomery,J., Klena,J.",2022-10-01,2023-08-08,ssRNA(-)
WEY06148,sGP,Sudan ebolavirus,Orthoebolavirus sudanense,,Ebolavirus/H.sapiens-wt/Uganda/2022/2022002539_C064,sGP [Sudan ebolavirus],372,Uganda,Uganda,Homo sapiens,,"Balinandi,S., Whitmer,S., Mulei,S., Nassuna,C., Pimundu,G., Muyigi,T., Kainulainen,M., Shedroff,E., Krapiunaya,I., Scholte,F., Nyakarahuka,L., Tumusiime,A., Kyondo,J., Baluku,J., Kiconco,J., Harris,J.R., Ario,A.R., Kagirita,A., Bosa,H.K., Ssewanyana,I., Nabadda,S., Mwebesa,H.G., Aceng,J.R., Atwine,D., Lutwama,J.J., Shoemaker,T.R., Montgomery,J.M., Kaleebu,P., Klena,J.D., Montgomery,J., Klena,J.",2022-10-01,2023-08-08,ssRNA(-)
WEY06149,spike glycoprotein,Sudan ebolavirus,Orthoebolavirus sudanense,,Ebolavirus/H.sapiens-wt/Uganda/2022/2022002539_C064,spike glycoprotein [Sudan ebolavirus],676,Uganda,Uganda,Homo sapiens,,"Balinandi,S., Whitmer,S., Mulei,S., Nassuna,C., Pimundu,G., Muyigi,T., Kainulainen,M., Shedroff,E., Krapiunaya,I., Scholte,F., Nyakarahuka,L., Tumusiime,A., Kyondo,J., Baluku,J., Kiconco,J., Harris,J.R., Ario,A.R., Kagirita,A., Bosa,H.K., Ssewanyana,I., Nabadda,S., Mwebesa,H.G., Aceng,J.R., Atwine,D., Lutwama,J.J., Shoemaker,T.R., Montgomery,J.M., Kaleebu,P., Klena,J.D., Montgomery,J., Klena,J.",2022-10-01,2023-08-08,ssRNA(-)
WEY06150,secreted glycoprotein,Sudan ebolavirus,Orthoebolavirus sudanense,,Ebolavirus/H.sapiens-wt/Uganda/2022/2022002539_C064,secreted glycoprotein [Sudan ebolavirus],318,Uganda,Uganda,Homo sapiens,,"Balinandi,S., Whitmer,S., Mulei,S., Nassuna,C., Pimundu,G., Muyigi,T., Kainulainen,M., Shedroff,E., Krapiunaya,I., Scholte,F., Nyakarahuka,L., Tumusiime,A., Kyondo,J., Baluku,J., Kiconco,J., Harris,J.R., Ario,A.R., Kagirita,A., Bosa,H.K., Ssewanyana,I., Nabadda,S., Mwebesa,H.G., Aceng,J.R., Atwine,D., Lutwama,J.J., Shoemaker,T.R., Montgomery,J.M., Kaleebu,P., Klena,J.D., Montgomery,J., Klena,J.",2022-10-01,2023-08-08,ssRNA(-)
WEY06151,minor nucleoprotein,Sudan ebolavirus,Orthoebolavirus sudanense,,Ebolavirus/H.sapiens-wt/Uganda/2022/2022002539_C064,minor nucleoprotein [Sudan ebolavirus],288,Uganda,Uganda,Homo sapiens,,"Balinandi,S., Whitmer,S., Mulei,S., Nassuna,C., Pimundu,G., Muyigi,T., Kainulainen,M., Shedroff,E., Krapiunaya,I., Scholte,F., Nyakarahuka,L., Tumusiime,A., Kyondo,J., Baluku,J., Kiconco,J., Harris,J.R., Ario,A.R., Kagirita,A., Bosa,H.K., Ssewanyana,I., Nabadda,S., Mwebesa,H.G., Aceng,J.R., Atwine,D., Lutwama,J.J., Shoemaker,T.R., Montgomery,J.M., Kaleebu,P., Klena,J.D., Montgomery,J., Klena,J.",2022-10-01,2023-08-08,ssRNA(-)
WEY06152,membrane-associated protein,Sudan ebolavirus,Orthoebolavirus sudanense,,Ebolavirus/H.sapiens-wt/Uganda/2022/2022002539_C064,membrane-associated protein [Sudan ebolavirus],251,Uganda,Uganda,Homo sapiens,,"Balinandi,S., Whitmer,S., Mulei,S., Nassuna,C., Pimundu,G., Muyigi,T., Kainulainen,M., Shedroff,E., Krapiunaya,I., Scholte,F., Nyakarahuka,L., Tumusiime,A., Kyondo,J., Baluku,J., Kiconco,J., Harris,J.R., Ario,A.R., Kagirita,A., Bosa,H.K., Ssewanyana,I., Nabadda,S., Mwebesa,H.G., Aceng,J.R., Atwine,D., Lutwama,J.J., Shoemaker,T.R., Montgomery,J.M., Kaleebu,P., Klena,J.D., Montgomery,J., Klena,J.",2022-10-01,2023-08-08,ssRNA(-)
WEY06153,RNA-dependent RNA polymerase,Sudan ebolavirus,Orthoebolavirus sudanense,,Ebolavirus/H.sapiens-wt/Uganda/2022/2022002539_C064,RNA-dependent RNA polymerase [Sudan ebolavirus],2210,Uganda,Uganda,Homo sapiens,,"Balinandi,S., Whitmer,S., Mulei,S., Nassuna,C., Pimundu,G., Muyigi,T., Kainulainen,M., Shedroff,E., Krapiunaya,I., Scholte,F., Nyakarahuka,L., Tumusiime,A., Kyondo,J., Baluku,J., Kiconco,J., Harris,J.R., Ario,A.R., Kagirita,A., Bosa,H.K., Ssewanyana,I., Nabadda,S., Mwebesa,H.G., Aceng,J.R., Atwine,D., Lutwama,J.J., Shoemaker,T.R., Montgomery,J.M., Kaleebu,P., Klena,J.D., Montgomery,J., Klena,J.",2022-10-01,2023-08-08,ssRNA(-)
WEY06154,nucleoprotein,Sudan ebolavirus,Orthoebolavirus sudanense,,Ebolavirus/H.sapiens-wt/Uganda/2022/2022002244_CXX1,nucleoprotein [Sudan ebolavirus],738,Uganda,Uganda,Homo sapiens,,"Balinandi,S., Whitmer,S., Mulei,S., Nassuna,C., Pimundu,G., Muyigi,T., Kainulainen,M., Shedroff,E., Krapiunaya,I., Scholte,F., Nyakarahuka,L., Tumusiime,A., Kyondo,J., Baluku,J., Kiconco,J., Harris,J.R., Ario,A.R., Kagirita,A., Bosa,H.K., Ssewanyana,I., Nabadda,S., Mwebesa,H.G., Aceng,J.R., Atwine,D., Lutwama,J.J., Shoemaker,T.R., Montgomery,J.M., Kaleebu,P., Klena,J.D., Montgomery,J., Klena,J.",2022-09-20,2023-08-08,ssRNA(-)
WEY06155,polymerase complex protein,Sudan ebolavirus,Orthoebolavirus sudanense,,Ebolavirus/H.sapiens-wt/Uganda/2022/2022002244_CXX1,polymerase complex protein [Sudan ebolavirus],329,Uganda,Uganda,Homo sapiens,,"Balinandi,S., Whitmer,S., Mulei,S., Nassuna,C., Pimundu,G., Muyigi,T., Kainulainen,M., Shedroff,E., Krapiunaya,I., Scholte,F., Nyakarahuka,L., Tumusiime,A., Kyondo,J., Baluku,J., Kiconco,J., Harris,J.R., Ario,A.R., Kagirita,A., Bosa,H.K., Ssewanyana,I., Nabadda,S., Mwebesa,H.G., Aceng,J.R., Atwine,D., Lutwama,J.J., Shoemaker,T.R., Montgomery,J.M., Kaleebu,P., Klena,J.D., Montgomery,J., Klena,J.",2022-09-20,2023-08-08,ssRNA(-)
WEY06156,matrix protein,Sudan ebolavirus,Orthoebolavirus sudanense,,Ebolavirus/H.sapiens-wt/Uganda/2022/2022002244_CXX1,matrix protein [Sudan ebolavirus],326,Uganda,Uganda,Homo sapiens,,"Balinandi,S., Whitmer,S., Mulei,S., Nassuna,C., Pimundu,G., Muyigi,T., Kainulainen,M., Shedroff,E., Krapiunaya,I., Scholte,F., Nyakarahuka,L., Tumusiime,A., Kyondo,J., Baluku,J., Kiconco,J., Harris,J.R., Ario,A.R., Kagirita,A., Bosa,H.K., Ssewanyana,I., Nabadda,S., Mwebesa,H.G., Aceng,J.R., Atwine,D., Lutwama,J.J., Shoemaker,T.R., Montgomery,J.M., Kaleebu,P., Klena,J.D., Montgomery,J., Klena,J.",2022-09-20,2023-08-08,ssRNA(-)
WEY06157,sGP,Sudan ebolavirus,Orthoebolavirus sudanense,,Ebolavirus/H.sapiens-wt/Uganda/2022/2022002244_CXX1,sGP [Sudan ebolavirus],372,Uganda,Uganda,Homo sapiens,,"Balinandi,S., Whitmer,S., Mulei,S., Nassuna,C., Pimundu,G., Muyigi,T., Kainulainen,M., Shedroff,E., Krapiunaya,I., Scholte,F., Nyakarahuka,L., Tumusiime,A., Kyondo,J., Baluku,J., Kiconco,J., Harris,J.R., Ario,A.R., Kagirita,A., Bosa,H.K., Ssewanyana,I., Nabadda,S., Mwebesa,H.G., Aceng,J.R., Atwine,D., Lutwama,J.J., Shoemaker,T.R., Montgomery,J.M., Kaleebu,P., Klena,J.D., Montgomery,J., Klena,J.",2022-09-20,2023-08-08,ssRNA(-)
WEY06158,spike glycoprotein,Sudan ebolavirus,Orthoebolavirus sudanense,,Ebolavirus/H.sapiens-wt/Uganda/2022/2022002244_CXX1,spike glycoprotein [Sudan ebolavirus],676,Uganda,Uganda,Homo sapiens,,"Balinandi,S., Whitmer,S., Mulei,S., Nassuna,C., Pimundu,G., Muyigi,T., Kainulainen,M., Shedroff,E., Krapiunaya,I., Scholte,F., Nyakarahuka,L., Tumusiime,A., Kyondo,J., Baluku,J., Kiconco,J., Harris,J.R., Ario,A.R., Kagirita,A., Bosa,H.K., Ssewanyana,I., Nabadda,S., Mwebesa,H.G., Aceng,J.R., Atwine,D., Lutwama,J.J., Shoemaker,T.R., Montgomery,J.M., Kaleebu,P., Klena,J.D., Montgomery,J., Klena,J.",2022-09-20,2023-08-08,ssRNA(-)
WEY06159,secreted glycoprotein,Sudan ebolavirus,Orthoebolavirus sudanense,,Ebolavirus/H.sapiens-wt/Uganda/2022/2022002244_CXX1,secreted glycoprotein [Sudan ebolavirus],318,Uganda,Uganda,Homo sapiens,,"Balinandi,S., Whitmer,S., Mulei,S., Nassuna,C., Pimundu,G., Muyigi,T., Kainulainen,M., Shedroff,E., Krapiunaya,I., Scholte,F., Nyakarahuka,L., Tumusiime,A., Kyondo,J., Baluku,J., Kiconco,J., Harris,J.R., Ario,A.R., Kagirita,A., Bosa,H.K., Ssewanyana,I., Nabadda,S., Mwebesa,H.G., Aceng,J.R., Atwine,D., Lutwama,J.J., Shoemaker,T.R., Montgomery,J.M., Kaleebu,P., Klena,J.D., Montgomery,J., Klena,J.",2022-09-20,2023-08-08,ssRNA(-)
WEY06160,minor nucleoprotein,Sudan ebolavirus,Orthoebolavirus sudanense,,Ebolavirus/H.sapiens-wt/Uganda/2022/2022002244_CXX1,minor nucleoprotein [Sudan ebolavirus],288,Uganda,Uganda,Homo sapiens,,"Balinandi,S., Whitmer,S., Mulei,S., Nassuna,C., Pimundu,G., Muyigi,T., Kainulainen,M., Shedroff,E., Krapiunaya,I., Scholte,F., Nyakarahuka,L., Tumusiime,A., Kyondo,J., Baluku,J., Kiconco,J., Harris,J.R., Ario,A.R., Kagirita,A., Bosa,H.K., Ssewanyana,I., Nabadda,S., Mwebesa,H.G., Aceng,J.R., Atwine,D., Lutwama,J.J., Shoemaker,T.R., Montgomery,J.M., Kaleebu,P., Klena,J.D., Montgomery,J., Klena,J.",2022-09-20,2023-08-08,ssRNA(-)
WEY06161,membrane-associated protein,Sudan ebolavirus,Orthoebolavirus sudanense,,Ebolavirus/H.sapiens-wt/Uganda/2022/2022002244_CXX1,membrane-associated protein [Sudan ebolavirus],251,Uganda,Uganda,Homo sapiens,,"Balinandi,S., Whitmer,S., Mulei,S., Nassuna,C., Pimundu,G., Muyigi,T., Kainulainen,M., Shedroff,E., Krapiunaya,I., Scholte,F., Nyakarahuka,L., Tumusiime,A., Kyondo,J., Baluku,J., Kiconco,J., Harris,J.R., Ario,A.R., Kagirita,A., Bosa,H.K., Ssewanyana,I., Nabadda,S., Mwebesa,H.G., Aceng,J.R., Atwine,D., Lutwama,J.J., Shoemaker,T.R., Montgomery,J.M., Kaleebu,P., Klena,J.D., Montgomery,J., Klena,J.",2022-09-20,2023-08-08,ssRNA(-)
WEY06162,RNA-dependent RNA polymerase,Sudan ebolavirus,Orthoebolavirus sudanense,,Ebolavirus/H.sapiens-wt/Uganda/2022/2022002244_CXX1,RNA-dependent RNA polymerase [Sudan ebolavirus],2210,Uganda,Uganda,Homo sapiens,,"Balinandi,S., Whitmer,S., Mulei,S., Nassuna,C., Pimundu,G., Muyigi,T., Kainulainen,M., Shedroff,E., Krapiunaya,I., Scholte,F., Nyakarahuka,L., Tumusiime,A., Kyondo,J., Baluku,J., Kiconco,J., Harris,J.R., Ario,A.R., Kagirita,A., Bosa,H.K., Ssewanyana,I., Nabadda,S., Mwebesa,H.G., Aceng,J.R., Atwine,D., Lutwama,J.J., Shoemaker,T.R., Montgomery,J.M., Kaleebu,P., Klena,J.D., Montgomery,J., Klena,J.",2022-09-20,2023-08-08,ssRNA(-)
WEY06163,nucleoprotein,Sudan ebolavirus,Orthoebolavirus sudanense,,Ebolavirus/H.sapiens-wt/Uganda/2022/2022002255_C012,nucleoprotein [Sudan ebolavirus],738,Uganda,Uganda,Homo sapiens,,"Balinandi,S., Whitmer,S., Mulei,S., Nassuna,C., Pimundu,G., Muyigi,T., Kainulainen,M., Shedroff,E., Krapiunaya,I., Scholte,F., Nyakarahuka,L., Tumusiime,A., Kyondo,J., Baluku,J., Kiconco,J., Harris,J.R., Ario,A.R., Kagirita,A., Bosa,H.K., Ssewanyana,I., Nabadda,S., Mwebesa,H.G., Aceng,J.R., Atwine,D., Lutwama,J.J., Shoemaker,T.R., Montgomery,J.M., Kaleebu,P., Klena,J.D., Montgomery,J., Klena,J.",2022-09-17,2023-08-08,ssRNA(-)
WEY06164,polymerase complex protein,Sudan ebolavirus,Orthoebolavirus sudanense,,Ebolavirus/H.sapiens-wt/Uganda/2022/2022002255_C012,polymerase complex protein [Sudan ebolavirus],329,Uganda,Uganda,Homo sapiens,,"Balinandi,S., Whitmer,S., Mulei,S., Nassuna,C., Pimundu,G., Muyigi,T., Kainulainen,M., Shedroff,E., Krapiunaya,I., Scholte,F., Nyakarahuka,L., Tumusiime,A., Kyondo,J., Baluku,J., Kiconco,J., Harris,J.R., Ario,A.R., Kagirita,A., Bosa,H.K., Ssewanyana,I., Nabadda,S., Mwebesa,H.G., Aceng,J.R., Atwine,D., Lutwama,J.J., Shoemaker,T.R., Montgomery,J.M., Kaleebu,P., Klena,J.D., Montgomery,J., Klena,J.",2022-09-17,2023-08-08,ssRNA(-)
WEY06165,matrix protein,Sudan ebolavirus,Orthoebolavirus sudanense,,Ebolavirus/H.sapiens-wt/Uganda/2022/2022002255_C012,matrix protein [Sudan ebolavirus],326,Uganda,Uganda,Homo sapiens,,"Balinandi,S., Whitmer,S., Mulei,S., Nassuna,C., Pimundu,G., Muyigi,T., Kainulainen,M., Shedroff,E., Krapiunaya,I., Scholte,F., Nyakarahuka,L., Tumusiime,A., Kyondo,J., Baluku,J., Kiconco,J., Harris,J.R., Ario,A.R., Kagirita,A., Bosa,H.K., Ssewanyana,I., Nabadda,S., Mwebesa,H.G., Aceng,J.R., Atwine,D., Lutwama,J.J., Shoemaker,T.R., Montgomery,J.M., Kaleebu,P., Klena,J.D., Montgomery,J., Klena,J.",2022-09-17,2023-08-08,ssRNA(-)
